SeniorCitizen,Tenure,MonthlyCharges,InternetService,TechSupport,Contract,PaymentMethod,NumComplaints,AvgDailyUsageHours,TotalCharges
0,54,87.64,DSL,No,Month-to-month,Credit card (automatic),1,0.2,4732.36
0,52,139.98,Fiber optic,No,One year,Mailed check,0,1.14,7233.65
0,49,97.3,No,No,One year,Credit card (automatic),1,2.51,4787.48
0,71,103.31,Fiber optic,Yes,One year,Bank transfer (automatic),0,1.07,7414.29
1,44,78.97,Fiber optic,No,Two year,Electronic check,0,0.02,3444.25
0,12,62.54,DSL,No,Month-to-month,Bank transfer (automatic),0,0.42,793.86
0,15,117.55,DSL,No,One year,Bank transfer (automatic),0,1.66,1733.01
0,12,79.39,DSL,No,One year,Bank transfer (automatic),1,4.08,972.35
0,19,139.36,Fiber optic,Yes,Month-to-month,Credit card (automatic),0,3.36,2674.82
0,65,74.85,Fiber optic,No,Two year,Mailed check,0,2.59,4927.31
0,46,28.16,Fiber optic,No,Month-to-month,Credit card (automatic),0,4.5,1254.78
0,18,101.91,Fiber optic,No,One year,Mailed check,1,0.49,1823.78
0,44,25.6,Fiber optic,No,One year,Electronic check,0,0.02,1098.88
0,36,50.06,Fiber optic,No,Month-to-month,Electronic check,1,0.66,1837.88
0,53,62.45,Fiber optic,No,Month-to-month,Bank transfer (automatic),0,1.29,3342.03
1,5,108.74,Fiber optic,No,Month-to-month,Mailed check,2,0.57,553.3
0,13,79.31,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),0,0.07,1027.25
0,3,23.44,No,Yes,Month-to-month,Credit card (automatic),0,1.06,114.57
0,54,94.02,DSL,Yes,Month-to-month,Mailed check,0,0.33,5014.39
0,33,69.37,DSL,No,Month-to-month,Bank transfer (automatic),0,1.95,2296.17
0,26,130.62,Fiber optic,No,Month-to-month,Credit card (automatic),0,0.14,3447.42
0,6,79.95,Fiber optic,Yes,Month-to-month,Electronic check,0,4.76,411.65
0,2,105.08,DSL,No,Month-to-month,Bank transfer (automatic),0,3.14,189.53
1,46,46.26,Fiber optic,No,One year,Mailed check,1,3.11,2105.45
0,1,111.32,Fiber optic,No,One year,Mailed check,0,2.34,91.29
0,24,106.51,Fiber optic,No,Month-to-month,Credit card (automatic),0,1.51,2645.06
0,59,128.49,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),1,0.08,7475.29
0,23,24.06,Fiber optic,Yes,Two year,Electronic check,0,1.63,530.77
0,14,73.7,DSL,No,Month-to-month,Bank transfer (automatic),1,2.06,1058.92
0,13,101.5,DSL,No,One year,Bank transfer (automatic),0,0.21,1359.85
0,53,31.42,DSL,No,Month-to-month,Mailed check,0,1.43,1718.31
0,5,69.27,Fiber optic,Yes,Month-to-month,Credit card (automatic),1,0.98,274.85
0,17,133.06,Fiber optic,No,One year,Mailed check,1,0.96,2321.89
0,19,72.31,Fiber optic,No,Two year,Electronic check,0,0.33,1429.21
0,61,138.25,Fiber optic,Yes,Two year,Bank transfer (automatic),0,2.02,8394.36
0,39,26.82,Fiber optic,Yes,One year,Electronic check,1,3.89,1000.45
0,38,106.14,DSL,No,Month-to-month,Credit card (automatic),0,2.33,3973.03
0,51,89.72,DSL,Yes,Month-to-month,Credit card (automatic),0,0.69,4464.05
0,31,80.06,No,Yes,Month-to-month,Bank transfer (automatic),0,6.22,2581.39
1,26,136.5,Fiber optic,Yes,Month-to-month,Credit card (automatic),0,0.68,3551.85
0,51,35.56,Fiber optic,No,Two year,Electronic check,0,0.4,1724.11
0,62,127.52,Fiber optic,No,Month-to-month,Bank transfer (automatic),0,5.17,7792.87
0,62,102.95,Fiber optic,Yes,Month-to-month,Credit card (automatic),0,2.34,6333.02
0,16,51.08,Fiber optic,No,Month-to-month,Electronic check,0,2.15,794.12
0,48,128.2,DSL,No,Month-to-month,Bank transfer (automatic),0,0.12,6188.92
0,22,71.52,No,No,Month-to-month,Credit card (automatic),0,0.32,1624.76
0,71,117.71,DSL,No,Month-to-month,Mailed check,0,0.03,8371.15
1,12,66.66,DSL,No,Month-to-month,Bank transfer (automatic),0,2.25,802.92
0,22,122.11,DSL,No,One year,Bank transfer (automatic),0,0.49,2700.39
0,56,96.4,Fiber optic,No,One year,Mailed check,0,0.21,5460.13
1,61,36.93,Fiber optic,No,Month-to-month,Credit card (automatic),1,0.3,2256.36
0,53,97.96,Fiber optic,Yes,One year,Bank transfer (automatic),0,1.54,5216.02
0,19,42.96,No,No,One year,Electronic check,1,0.85,758.4
1,51,69.43,DSL,No,Month-to-month,Credit card (automatic),1,4.26,3550.31
0,22,40.44,Fiber optic,No,Month-to-month,Bank transfer (automatic),0,0.68,864.12
0,34,22.64,Fiber optic,No,Two year,Electronic check,0,2.69,788.52
1,66,45.43,No,Yes,Month-to-month,Mailed check,0,1.19,2980.3
0,33,84.36,DSL,Yes,Month-to-month,Electronic check,0,1.83,2802.19
0,32,77.79,No,No,Month-to-month,Credit card (automatic),0,0.28,2449.76
0,45,80.18,DSL,No,One year,Mailed check,0,2.07,3557.18
0,44,49.72,Fiber optic,No,One year,Electronic check,0,0.13,2146.16
0,18,102.22,Fiber optic,No,Two year,Credit card (automatic),0,1.76,1801.2
1,14,104.51,No,No,Month-to-month,Mailed check,1,0.94,1477.94
0,65,62.96,DSL,No,Month-to-month,Credit card (automatic),0,0.39,4130.34
0,38,125.74,DSL,Yes,One year,Bank transfer (automatic),1,0.98,4784.79
0,17,97.28,DSL,No,Month-to-month,Credit card (automatic),1,2.9,1659.46
0,69,105.56,Fiber optic,No,Month-to-month,Electronic check,1,0.25,7289.34
0,58,53.28,Fiber optic,No,Month-to-month,Credit card (automatic),0,0.28,3144.36
0,31,20.07,No,No,Month-to-month,Credit card (automatic),2,1.15,569.18
1,20,123.85,Fiber optic,No,Two year,Mailed check,0,1.47,2488.96
0,39,118.69,DSL,No,One year,Credit card (automatic),0,0.82,4637.26
0,26,34.78,DSL,Yes,Month-to-month,Credit card (automatic),0,0.46,948.28
0,1,64.89,DSL,Yes,One year,Bank transfer (automatic),0,0.1,25.11
0,38,99.36,Fiber optic,No,One year,Bank transfer (automatic),0,0.08,3854.82
1,55,98.25,No,No,Two year,Mailed check,0,0.06,5398.34
1,12,123.24,No,Yes,Two year,Mailed check,0,3.47,1418.0
0,55,36.83,Fiber optic,No,Month-to-month,Electronic check,0,0.21,1999.79
0,65,71.59,DSL,No,Two year,Mailed check,0,0.52,4688.68
0,55,31.67,DSL,No,Month-to-month,Credit card (automatic),0,6.39,1731.95
0,27,66.75,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),0,3.94,1766.53
0,63,21.81,No,No,Month-to-month,Mailed check,0,0.07,1442.6
0,70,127.79,DSL,No,Month-to-month,Electronic check,0,1.2,8973.3
0,63,83.25,DSL,No,Two year,Credit card (automatic),0,1.51,5233.12
0,55,121.98,Fiber optic,No,One year,Electronic check,0,0.08,6720.94
0,40,27.19,Fiber optic,Yes,One year,Electronic check,0,1.95,1132.58
1,40,47.29,DSL,No,Two year,Electronic check,0,6.62,1950.57
0,3,51.13,No,No,Month-to-month,Electronic check,0,0.84,124.66
0,56,66.4,DSL,No,Month-to-month,Credit card (automatic),0,0.9,3755.93
0,29,116.34,No,No,One year,Credit card (automatic),0,1.62,3468.89
1,45,66.39,DSL,Yes,Two year,Electronic check,1,2.0,2956.68
0,55,44.56,DSL,Yes,Two year,Credit card (automatic),0,2.34,2470.94
0,30,27.8,DSL,No,Month-to-month,Mailed check,0,0.12,857.69
0,6,29.54,DSL,Yes,Two year,Credit card (automatic),0,2.42,169.52
0,53,111.21,Fiber optic,Yes,Two year,Credit card (automatic),0,2.99,5850.1
0,7,73.38,Fiber optic,No,Month-to-month,Electronic check,0,0.07,469.52
0,54,107.14,Fiber optic,Yes,One year,Credit card (automatic),1,0.06,5775.24
0,68,101.87,Fiber optic,No,Month-to-month,Mailed check,0,1.2,6886.23
0,43,36.24,Fiber optic,No,Month-to-month,Credit card (automatic),0,1.03,1488.01
0,12,37.15,DSL,No,Two year,Mailed check,0,5.88,383.9
0,19,110.64,No,No,One year,Credit card (automatic),1,0.52,2076.04
0,31,106.55,No,No,One year,Bank transfer (automatic),0,1.34,3294.04
0,59,65.36,DSL,Yes,Two year,Credit card (automatic),1,1.06,3826.95
0,49,29.29,Fiber optic,Yes,Month-to-month,Mailed check,0,1.15,1390.14
0,26,21.45,Fiber optic,Yes,Month-to-month,Mailed check,1,1.62,607.26
0,24,54.58,DSL,No,Month-to-month,Mailed check,0,1.16,1255.09
0,51,21.11,Fiber optic,No,One year,Electronic check,0,0.01,1077.66
0,67,47.61,Fiber optic,No,Two year,Mailed check,0,2.78,3249.42
0,20,70.34,DSL,No,One year,Credit card (automatic),1,0.34,1413.62
0,17,34.57,DSL,No,Two year,Bank transfer (automatic),0,0.39,700.22
0,38,32.51,Fiber optic,No,One year,Mailed check,0,1.57,1260.09
0,14,127.57,DSL,No,One year,Electronic check,0,0.97,1773.92
0,52,90.26,DSL,No,One year,Credit card (automatic),0,1.28,4669.76
0,37,132.13,Fiber optic,No,Two year,Mailed check,0,1.03,4923.68
1,47,61.5,Fiber optic,Yes,Month-to-month,Electronic check,0,0.81,2920.81
0,51,101.26,DSL,No,Month-to-month,Electronic check,1,0.99,5189.57
0,71,44.56,No,No,Month-to-month,Electronic check,0,0.23,3130.19
0,27,94.2,Fiber optic,Yes,Two year,Mailed check,0,5.23,2528.77
1,15,35.55,DSL,No,Two year,Mailed check,0,1.28,463.44
1,15,20.25,Fiber optic,Yes,Month-to-month,Mailed check,0,0.51,298.86
0,34,131.78,Fiber optic,Yes,Two year,Bank transfer (automatic),0,1.87,4498.2
0,16,86.59,DSL,No,Month-to-month,Bank transfer (automatic),0,3.18,1351.87
0,51,131.23,Fiber optic,No,Month-to-month,Credit card (automatic),0,0.53,6673.66
0,11,60.06,Fiber optic,No,Two year,Credit card (automatic),0,0.59,645.38
0,47,59.33,Fiber optic,No,Month-to-month,Electronic check,1,0.87,2805.4
0,21,68.08,Fiber optic,No,Month-to-month,Bank transfer (automatic),0,0.37,1371.25
0,48,104.72,Fiber optic,No,Month-to-month,Mailed check,0,2.49,4997.95
1,51,87.9,DSL,Yes,Month-to-month,Credit card (automatic),1,1.32,4418.25
1,0,131.04,Fiber optic,No,One year,Mailed check,2,0.09,0.0
0,65,23.05,Fiber optic,No,Month-to-month,Mailed check,0,8.57,1514.17
0,63,104.98,Fiber optic,No,One year,Bank transfer (automatic),0,1.28,6639.37
0,7,59.64,Fiber optic,No,One year,Credit card (automatic),1,3.31,447.85
0,24,41.63,Fiber optic,No,Month-to-month,Electronic check,0,1.04,975.57
1,65,81.25,No,No,One year,Credit card (automatic),0,1.31,5332.22
1,69,80.61,DSL,No,Two year,Credit card (automatic),0,0.91,5654.7
0,50,36.44,DSL,No,Month-to-month,Credit card (automatic),0,0.82,1809.63
0,52,44.23,DSL,No,One year,Bank transfer (automatic),1,0.37,2304.53
0,14,68.98,DSL,Yes,Two year,Credit card (automatic),0,4.91,952.81
0,49,69.06,Fiber optic,No,Month-to-month,Electronic check,0,0.3,3365.76
1,70,58.11,DSL,No,Month-to-month,Credit card (automatic),0,1.12,4035.11
0,37,37.83,DSL,No,Month-to-month,Mailed check,0,0.14,1424.76
0,39,20.52,DSL,No,One year,Electronic check,0,7.53,857.6
0,65,136.43,Fiber optic,No,Month-to-month,Credit card (automatic),0,1.22,8802.48
0,38,133.22,No,No,Month-to-month,Bank transfer (automatic),1,2.53,5091.58
0,16,78.04,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),0,1.24,1206.81
0,6,139.41,DSL,No,Month-to-month,Bank transfer (automatic),0,2.45,855.53
0,38,100.84,Fiber optic,No,One year,Mailed check,0,1.15,3848.99
0,67,28.26,DSL,No,One year,Mailed check,0,0.88,1917.62
0,34,34.13,DSL,Yes,Month-to-month,Bank transfer (automatic),0,0.91,1175.01
0,50,129.93,No,No,Month-to-month,Mailed check,0,0.0,6481.24
0,46,95.61,Fiber optic,Yes,One year,Credit card (automatic),0,0.69,4389.59
0,35,121.18,DSL,No,One year,Credit card (automatic),0,4.55,4309.24
0,63,127.79,Fiber optic,Yes,Two year,Bank transfer (automatic),0,1.69,8056.37
0,12,73.75,DSL,No,Month-to-month,Electronic check,0,3.78,915.45
0,17,25.82,Fiber optic,No,One year,Credit card (automatic),2,0.34,424.9
0,20,42.59,Fiber optic,No,Month-to-month,Electronic check,0,1.01,850.15
0,64,27.99,DSL,No,Two year,Mailed check,0,0.05,1843.59
0,7,42.65,No,No,Month-to-month,Mailed check,0,1.7,252.15
0,47,69.26,Fiber optic,Yes,One year,Credit card (automatic),0,2.3,3255.94
0,42,34.18,No,Yes,Month-to-month,Credit card (automatic),0,2.07,1427.19
0,52,40.01,Fiber optic,No,Month-to-month,Mailed check,0,0.14,2140.74
0,26,73.5,Fiber optic,Yes,Month-to-month,Mailed check,0,0.43,1993.85
1,18,60.82,Fiber optic,Yes,Month-to-month,Electronic check,0,1.6,1130.93
0,22,76.12,DSL,No,Month-to-month,Credit card (automatic),0,2.13,1746.32
1,49,71.5,Fiber optic,No,Month-to-month,Bank transfer (automatic),0,0.48,3453.51
0,50,97.34,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),0,0.78,4731.34
0,42,132.46,DSL,No,Month-to-month,Mailed check,0,0.65,5584.39
0,50,32.94,Fiber optic,No,One year,Bank transfer (automatic),0,0.01,1686.74
0,68,31.91,Fiber optic,Yes,One year,Mailed check,0,1.29,2151.73
0,40,122.34,No,No,Month-to-month,Bank transfer (automatic),1,1.66,4864.58
0,71,80.77,Fiber optic,Yes,Month-to-month,Mailed check,0,0.49,5751.4
0,10,111.97,Fiber optic,Yes,Month-to-month,Mailed check,0,1.75,1189.32
0,51,45.85,No,Yes,Month-to-month,Bank transfer (automatic),0,0.42,2354.52
0,22,119.46,DSL,Yes,Month-to-month,Credit card (automatic),0,1.89,2675.18
0,48,130.86,DSL,No,Month-to-month,Mailed check,0,0.92,6325.37
0,37,96.26,DSL,Yes,Two year,Bank transfer (automatic),1,3.08,3588.51
1,46,32.71,No,No,Two year,Credit card (automatic),0,1.18,1564.13
1,71,127.44,DSL,No,Month-to-month,Electronic check,1,0.31,9017.72
1,6,115.1,DSL,No,One year,Mailed check,0,2.59,661.18
0,65,110.11,Fiber optic,No,Month-to-month,Mailed check,0,2.26,7128.95
0,61,24.41,No,No,Month-to-month,Electronic check,0,0.13,1502.52
1,28,115.88,No,Yes,Two year,Mailed check,1,0.07,3310.59
0,37,36.55,Fiber optic,No,Month-to-month,Electronic check,0,0.22,1386.85
1,32,46.69,No,No,One year,Bank transfer (automatic),0,2.8,1367.42
1,28,89.26,DSL,No,Month-to-month,Electronic check,2,0.58,2650.56
1,22,51.8,DSL,No,One year,Credit card (automatic),0,1.05,1163.89
0,2,99.36,No,No,Month-to-month,Bank transfer (automatic),0,1.39,262.54
0,44,92.97,Fiber optic,Yes,One year,Electronic check,0,2.04,4115.75
1,7,32.98,DSL,No,Month-to-month,Credit card (automatic),0,2.66,166.47
0,28,98.72,Fiber optic,Yes,Month-to-month,Electronic check,0,1.09,2794.41
0,1,130.87,Fiber optic,No,Two year,Credit card (automatic),0,0.81,74.99
0,49,39.33,No,No,One year,Electronic check,0,0.33,1947.87
1,64,91.65,No,No,Two year,Mailed check,0,1.4,5893.54
0,19,61.02,Fiber optic,Yes,Month-to-month,Credit card (automatic),0,1.2,1212.84
0,51,75.15,No,No,Month-to-month,Mailed check,0,0.52,3816.61
0,36,54.44,Fiber optic,No,Month-to-month,Mailed check,1,0.89,1842.97
0,71,62.5,Fiber optic,No,Month-to-month,Credit card (automatic),0,2.02,4429.58
1,26,23.47,Fiber optic,Yes,One year,Mailed check,0,1.48,646.55
0,46,137.79,Fiber optic,No,Two year,Bank transfer (automatic),0,0.99,6344.17
0,5,94.98,DSL,No,Two year,Electronic check,0,0.48,476.49
1,59,80.08,Fiber optic,No,Month-to-month,Credit card (automatic),0,1.65,4709.32
0,44,66.05,Fiber optic,No,Month-to-month,Bank transfer (automatic),2,1.48,2948.95
0,43,84.72,DSL,No,Two year,Credit card (automatic),2,0.92,3721.24
0,17,65.61,DSL,Yes,One year,Electronic check,2,0.41,1110.88
0,64,63.19,DSL,No,Two year,Credit card (automatic),0,0.29,4087.42
0,24,75.67,DSL,No,One year,Electronic check,0,0.62,1867.53
0,26,53.12,Fiber optic,Yes,Two year,Bank transfer (automatic),0,3.59,1345.11
0,6,41.61,DSL,Yes,Month-to-month,Credit card (automatic),1,2.1,209.47
1,43,86.79,DSL,No,One year,Electronic check,1,3.33,3790.26
1,28,121.13,Fiber optic,Yes,Month-to-month,Mailed check,0,2.77,3358.07
0,43,38.34,No,No,One year,Mailed check,2,0.92,1638.78
0,35,23.93,DSL,Yes,One year,Bank transfer (automatic),2,1.13,860.26
0,18,49.62,DSL,Yes,Month-to-month,Bank transfer (automatic),0,0.28,850.28
0,5,137.57,No,No,One year,Bank transfer (automatic),1,1.91,683.04
0,24,119.45,Fiber optic,No,Month-to-month,Mailed check,1,0.82,2887.26
0,30,91.5,No,Yes,Month-to-month,Electronic check,0,0.26,2654.22
1,8,131.51,DSL,Yes,Month-to-month,Bank transfer (automatic),1,0.15,1059.71
0,36,73.43,DSL,No,Month-to-month,Electronic check,2,1.79,2577.57
0,26,137.99,DSL,No,Month-to-month,Electronic check,0,0.99,3566.98
0,12,55.56,DSL,No,Month-to-month,Bank transfer (automatic),0,0.01,661.12
0,40,48.84,No,Yes,Month-to-month,Bank transfer (automatic),0,2.61,1850.57
0,65,96.57,No,No,Month-to-month,Mailed check,0,1.45,6260.26
0,23,65.38,No,No,Month-to-month,Bank transfer (automatic),0,0.06,1433.07
0,43,95.16,No,No,One year,Mailed check,0,0.55,4020.94
0,59,56.6,No,Yes,One year,Mailed check,0,1.92,3339.16
0,8,94.15,Fiber optic,Yes,Two year,Electronic check,1,0.09,805.29
0,1,53.09,No,No,Month-to-month,Mailed check,0,2.0,92.54
0,55,26.12,DSL,Yes,Two year,Electronic check,0,1.05,1403.27
0,29,129.46,Fiber optic,Yes,Month-to-month,Mailed check,0,2.29,3697.53
0,21,125.98,Fiber optic,No,Month-to-month,Bank transfer (automatic),0,2.9,2636.52
0,12,136.5,No,No,Month-to-month,Credit card (automatic),0,2.19,1677.17
0,70,105.98,Fiber optic,No,Month-to-month,Electronic check,0,0.12,7442.18
0,15,101.93,No,No,Month-to-month,Bank transfer (automatic),0,0.93,1479.05
0,44,87.08,Fiber optic,No,One year,Electronic check,1,0.58,3810.23
0,64,35.11,Fiber optic,No,Two year,Mailed check,1,1.07,2209.13
0,10,42.71,No,No,Two year,Electronic check,1,5.06,289.84
0,69,54.74,DSL,No,One year,Credit card (automatic),0,0.2,3831.91
0,19,126.82,No,No,One year,Bank transfer (automatic),1,3.01,2437.66
0,62,40.76,Fiber optic,Yes,Month-to-month,Electronic check,0,7.04,2602.9
0,11,130.74,Fiber optic,No,Two year,Credit card (automatic),0,6.91,1506.91
0,61,82.73,No,Yes,One year,Bank transfer (automatic),0,2.39,5055.45
1,41,105.87,Fiber optic,No,Month-to-month,Credit card (automatic),0,0.94,4392.05
0,68,33.23,Fiber optic,No,One year,Electronic check,1,0.29,2247.16
0,57,52.28,Fiber optic,No,Month-to-month,Credit card (automatic),0,1.41,2996.39
0,4,135.02,DSL,No,One year,Mailed check,0,1.41,513.84
0,26,51.94,Fiber optic,No,Two year,Electronic check,0,0.57,1351.35
0,27,55.58,DSL,Yes,One year,Bank transfer (automatic),0,1.44,1530.51
0,25,43.71,No,No,Two year,Mailed check,0,0.19,1125.42
0,48,35.49,DSL,No,Two year,Electronic check,0,1.51,1588.73
1,20,47.99,Fiber optic,Yes,Month-to-month,Mailed check,0,3.41,1002.82
0,0,97.08,No,Yes,Month-to-month,Credit card (automatic),0,0.96,0.0
0,57,74.64,No,No,Month-to-month,Bank transfer (automatic),0,2.17,4228.4
0,54,86.45,Fiber optic,No,Two year,Mailed check,0,1.51,4580.63
0,25,34.68,Fiber optic,Yes,Month-to-month,Credit card (automatic),1,0.0,834.76
0,24,116.25,DSL,Yes,One year,Credit card (automatic),0,0.2,2859.7
0,32,114.09,Fiber optic,No,Month-to-month,Bank transfer (automatic),1,2.24,3669.78
0,71,22.59,DSL,Yes,One year,Electronic check,0,0.06,1610.85
0,68,66.02,Fiber optic,No,Month-to-month,Bank transfer (automatic),1,4.69,4586.24
0,5,28.25,DSL,No,Month-to-month,Bank transfer (automatic),1,3.37,105.94
0,22,115.05,Fiber optic,Yes,Month-to-month,Credit card (automatic),1,0.68,2543.1
1,29,108.47,Fiber optic,No,Month-to-month,Bank transfer (automatic),1,0.56,3205.27
0,53,128.24,Fiber optic,No,Month-to-month,Bank transfer (automatic),0,1.42,6842.51
0,10,48.37,Fiber optic,No,Two year,Electronic check,0,1.42,516.41
0,30,74.76,No,No,Month-to-month,Bank transfer (automatic),0,0.14,2299.26
0,5,42.14,DSL,No,One year,Bank transfer (automatic),0,0.36,255.82
0,10,64.55,Fiber optic,No,Two year,Credit card (automatic),0,1.52,677.92
0,11,82.67,DSL,No,One year,Electronic check,0,2.42,849.11
0,65,26.4,DSL,No,Month-to-month,Bank transfer (automatic),2,0.32,1719.57
0,52,105.78,Fiber optic,Yes,Two year,Electronic check,0,1.82,5554.3
0,35,85.2,DSL,No,Month-to-month,Electronic check,0,3.07,2947.87
0,16,119.48,DSL,No,Month-to-month,Credit card (automatic),0,0.19,1877.48
0,27,52.61,No,Yes,Month-to-month,Bank transfer (automatic),0,0.87,1423.81
1,21,128.4,Fiber optic,No,Month-to-month,Mailed check,1,2.85,2750.17
0,6,139.84,DSL,No,One year,Electronic check,0,0.69,798.29
0,14,130.32,DSL,Yes,One year,Credit card (automatic),0,0.47,1788.56
0,10,113.35,DSL,Yes,Month-to-month,Electronic check,0,2.05,1041.03
0,23,117.48,Fiber optic,Yes,Month-to-month,Mailed check,0,0.77,2662.28
0,66,88.85,Fiber optic,No,Month-to-month,Mailed check,1,1.84,5903.45
0,29,42.82,Fiber optic,No,Month-to-month,Bank transfer (automatic),0,0.2,1201.7
0,69,101.24,DSL,No,Month-to-month,Credit card (automatic),0,1.21,6932.97
0,65,105.53,Fiber optic,No,Month-to-month,Mailed check,0,0.72,6841.58
0,60,138.25,Fiber optic,No,One year,Electronic check,0,8.87,8276.11
